,Occupation,Family Type,Family Interest,House Type,Number Of Residents,Average Age,Distance To Nearest Tower [m],Number Of Phones,Number Of Computers,Number Of Tvs,Number Of Pets,Customer Happiness,Time Spend On YouTube [min],Time Spend On TikTok [min],Time Spend On Instagram [min],Time Spend On Spotify [min],Size of home [m2],Mobile Traffic
31,Nurse,Seniors,Musical,Concrete,1,49,39.06154167609134,2,1,1,0,8,14.049993905017018,8.929180420891582,18.577391796784834,13.266294685324535,0.4222840768852893,10.146144283191653
32,Student,Seniors,Outdoor,Wood,2,47,80.18861522276529,1,0,1,1,8,16.57692713507287,9.956721383598538,16.483852542025232,10.145317689857759,0.5302861667839501,13.010587381407104
33,Student,Seniors,Musical,Concrete,2,57,84.27130719090242,2,1,1,1,6,10.79470569952791,10.470519042884641,7.8721826971845585,12.68040966533906,0.5893646757748103,9.18661638593829
34,Nurse,Seniors,Sporty,Tiles,2,48,68.23187092624833,2,1,1,1,8,14.299105194662536,10.477004707492611,9.365684538405084,23.47909625539212,0.569293017136868,11.3756631534199
35,Salesman,Seniors,Crafty,Tiles,2,44,62.75066467431371,2,1,1,1,8,14.114709238619886,7.147833895403132,9.44850832792332,5.1495430659096915,0.5202629951545783,10.927609557260602
36,Data Scientist,Family,Sporty,Tiles,2,63,25.684087121448005,2,1,2,1,7,6.911468847082973,4.453426485549791,5.05002223493406,9.526507539250423,0.3115801590024367,6.017511631862957
37,Student,Couple,Outdoor,Concrete,3,49,51.32285906929408,3,2,2,1,7,18.234869572377686,16.129838044016747,8.595185654781904,46.90566324679969,0.575951177053483,10.269708948888798
38,Salesman,Couple,Travelling,Wood,2,54,39.39446793259835,2,2,2,1,10,13.41996126342734,5.2575863985914175,4.481887293947943,8.791084705916559,0.47207736369602954,10.635645550208416
39,Salesman,Seniors,Outdoor,Metal,5,42,51.42281089214828,4,2,2,0,8,33.60866185086526,26.18155764710548,15.439366388221268,82.29140397683595,0.5344264862360065,14.732449793057052
40,Salesman,Singles,Musical,Metal,2,43,77.03856594222646,2,2,1,0,7,14.369231104772735,10.272452197561849,12.615842938253325,31.668294361168755,0.47926738681210973,9.657252520460698
41,Data Scientist,Couple,Musical,Tiles,3,40,47.88973329936064,2,1,1,0,8,14.086372667664325,6.519136508024267,9.420977537749598,25.459342344378005,0.4962823946248491,8.533313972577067
42,Teacher,Couple,Crafty,Wood,2,55,31.46568328740954,2,1,2,0,8,15.020033465514999,9.949715465869827,30.60671041184505,13.421882461821157,0.3941604474318367,8.757726780278333
43,Salesman,Seniors,Sporty,Wood,3,50,75.2416450659601,3,2,1,1,8,13.920646687903172,4.63124300781176,8.093985413943606,16.412035606164462,0.6082521526426911,12.071373567033326
44,Salesman,Seniors,Sporty,Glas,1,38,50.27499339090373,2,1,1,1,8,15.323942890196355,3.7380013397741703,2.387530492239079,8.17283661622721,0.6517184607449059,9.908800868060384
45,Firefighter,Couple,Crafty,Metal,2,55,80.50358586586893,1,1,1,1,6,16.41421536045086,18.332147742867583,5.250792749497994,25.560191898697667,0.5021971066620516,8.031043077245492
46,Salesman,Singles,Musical,Concrete,1,50,52.05605919351771,1,0,1,1,6,14.07029198961478,2.7663277056859217,7.085674685070312,4.402800893398978,0.5631227213979357,6.358955127559787
47,Nurse,Seniors,Travelling,Wood,2,47,48.52723778341239,2,1,2,1,7,8.032472883826156,10.174209659342418,6.2426209073797905,8.30317760735662,0.45864046951466725,9.514928073623974
48,Student,Seniors,Musical,Tiles,2,46,59.021783767347245,3,1,2,0,7,10.824939257761761,14.410646007000144,6.728856548789845,38.4863519294941,0.532390078237811,9.118223255152648
49,Data Scientist,Couple,Musical,Metal,2,58,85.29138288032495,3,0,1,1,8,11.072424519884699,5.714614834624523,12.268158252442582,7.031413682899516,0.544071931625138,11.474191188414384
50,Nurse,Couple,Gaming,Tiles,1,45,49.45348473330613,2,1,1,1,7,13.003095195420391,7.741660048780516,11.88862329627486,28.76198867313528,0.6040297603202851,8.149394040375071
51,Salesman,Family,Musical,Tiles,2,48,62.452425760178876,3,1,1,1,7,14.95144821693616,12.54048929466812,7.98923199194954,31.574066221153767,0.45837988635861926,10.09734878805653
52,Nurse,Seniors,Musical,Tiles,4,57,90.15830235982055,3,1,2,1,5,12.909875616095794,7.176741551679602,14.525822659399958,48.39888147443914,0.6368775827470519,8.850174441529461
53,Salesman,Seniors,Outdoor,Tiles,2,51,69.50240569513647,3,2,2,1,10,16.297725612123962,4.02004402306099,7.764856197130941,6.818643318374506,0.6439206034403964,11.96412276520578
54,Firefighter,Seniors,Outdoor,Metal,5,47,80.36836343545548,5,2,2,1,7,34.20375923087324,57.191935562490244,76.92473149729031,77.99051042856463,0.5878253306731309,15.442053153336733
55,Teacher,Family,Sporty,Glas,4,64,82.66291388883946,2,2,2,1,8,17.85936468858697,4.313660697304149,6.422274204360942,30.7704159484351,0.5760282854909327,10.156182352085315
56,Teacher,Couple,Sporty,Tiles,2,38,40.006890774708815,2,1,1,0,8,15.849797765903784,14.350806606143598,14.382335267646988,21.61235244322053,0.4638114849779197,9.200885274981134
57,Data Scientist,Family,Travelling,Metal,2,59,44.58406649888611,3,1,2,0,9,9.351157850438119,9.7458742593397,30.76851785052902,20.85836004076281,0.47151390056730036,8.126657549997269
58,Teacher,Family,Gaming,Wood,1,46,27.87890123593528,1,0,0,1,1,6.587572440731259,6.255350880903565,8.492752181576819,14.74458817451361,0.36740744233940204,3.14739488573118
59,Nurse,Couple,Crafty,Concrete,1,47,89.09060190146933,3,1,1,1,7,10.506952994385006,6.280283337180725,11.110953079810386,19.356348075831413,0.37509034744805536,9.96966429117431
60,Student,Singles,Outdoor,Metal,2,52,67.70516251051268,2,1,1,1,9,11.186100610667237,9.927292561936719,9.086673231858638,21.590031341380534,0.46472871614171585,9.741421720141892
61,Nurse,Family,Gaming,Wood,2,48,62.62529995661826,3,1,1,1,5,14.276608103023344,20.041194063374178,19.775462158887493,29.185004678970955,0.5923099377621502,8.686213869450933
62,Student,Family,Outdoor,Wood,2,51,45.38766617817608,2,1,1,1,6,4.95422805015502,5.2809278041442,8.820582322749228,7.070688088171092,0.5113934000749336,4.384249309827454
63,Nurse,Singles,Outdoor,Glas,3,48,74.34239028916495,2,1,2,1,4,16.46076185716569,6.948122492473199,5.4419281039775536,6.929863000346697,0.6973177634547807,7.232466385816871
64,Salesman,Seniors,Musical,Concrete,2,49,76.64877499184904,2,2,1,1,9,15.37865836831437,3.0532171978378493,4.615279648821377,9.644692921874086,0.7459215017341267,12.188804881429473
65,Nurse,Family,Travelling,Glas,2,56,67.10133982426544,2,2,2,1,6,16.036315846225456,7.791972519061639,6.1507207978539835,9.265837391610743,0.9038134071264652,6.8767615617678715
66,Nurse,Singles,Musical,Wood,2,51,48.94776975139751,2,1,1,1,8,15.844236497988547,6.019858156584408,7.649237692438473,24.61208301419868,0.41574397860203743,10.47105370716612
67,Firefighter,Singles,Gaming,Metal,2,51,108.61617041025653,3,1,1,1,9,11.258977316657424,14.522586536431358,21.689159285503422,57.9724649674161,0.47847863361918747,11.269456607536679
68,Teacher,Singles,Travelling,Glas,3,48,67.84542703772655,2,1,1,0,8,15.513082982884685,26.35288728122315,12.638166461471437,24.83665750834974,0.47651005825678827,12.359927678768416
69,Nurse,Seniors,Musical,Glas,2,54,55.44395173934355,2,1,2,1,8,13.137095588292144,17.258412525551826,19.136268176618344,7.116398428874547,0.7485790875865352,12.333502028488148
70,Data Scientist,Family,Crafty,Concrete,2,52,57.83719697057773,3,1,2,1,8,10.159565859879965,26.143157098093777,19.491372899546114,37.248117524135694,0.47809901091891666,8.862892477639138
71,Student,Singles,Crafty,Glas,2,36,68.05479151688668,1,1,1,1,6,6.235200863177637,9.496508810752323,13.99948071893088,8.831395163456683,0.6641479178303084,7.259210869549095
72,Student,Family,Travelling,Glas,2,65,76.65997784639286,3,2,2,1,8,18.45095468866802,18.502348405722454,6.649528424486406,31.865076018261213,0.5715414873951015,12.386418836582028
73,Student,Family,Crafty,Concrete,3,63,62.42438467560368,3,2,2,1,5,17.497084763887575,5.743153926500208,8.544248437610351,22.68597558538769,0.5627323936865317,8.480186082971455
74,Salesman,Seniors,Outdoor,Glas,2,50,155.83203368572453,2,2,2,1,8,15.031577211553614,17.15270138696155,13.002630975356125,9.185692386580085,0.7999911236048833,12.522256201661646
75,Teacher,Couple,Travelling,Glas,1,47,69.25850295822157,1,0,1,0,6,15.634488262454916,5.404887475091799,3.90265983280035,3.7519066220142188,0.5530164617521202,7.821763420343029
76,Teacher,Couple,Musical,Concrete,3,54,35.583444885614654,3,1,2,0,7,9.959481332728727,4.644928174470605,9.071504947102907,9.705719995211302,0.4572907640191822,8.070195156161926
77,Salesman,Seniors,Outdoor,Wood,2,58,75.3398066413553,2,2,2,0,9,18.0940669109398,10.438607337113664,18.833485771623796,6.906222199984963,0.7080757007700644,14.108065079919019
78,Salesman,Seniors,Outdoor,Glas,2,39,82.34632518175063,2,1,1,1,5,16.76426075804211,16.981018117886705,20.266830256556073,26.852408535369186,0.5168711362357311,8.494406181841448
79,Teacher,Couple,Musical,Wood,2,49,71.19127531515305,2,1,1,1,9,7.217152929069041,6.642797408792932,4.850615554272468,27.568524168429814,0.37823755928482883,10.236413031423833
80,Firefighter,Couple,Musical,Tiles,2,49,37.06171123570477,2,1,1,0,8,7.094137643374735,4.075061257575977,5.27389999073749,22.332068771242152,0.37837764732750073,8.123818058568371
81,Student,Family,Travelling,Wood,2,66,51.944631754001946,2,2,2,1,8,13.841938136654973,5.6238260561665125,3.169490958582157,7.104689454590775,0.36980461863456965,8.828896968473106
82,Student,Couple,Gaming,Concrete,2,50,31.278026090936685,2,1,1,1,7,15.057663659878433,2.30209705837328,3.101554315387998,7.414319881848984,0.5731626238669894,6.819992438334421
83,Student,Family,Musical,Metal,2,57,40.2189128375401,2,1,2,1,8,13.060338316340472,3.758914007650781,2.7139506208222475,6.300317619846575,0.5338132055407663,8.592172108106926
84,Nurse,Couple,Sporty,Tiles,1,48,77.44692860304197,3,1,1,0,5,20.56560031769243,19.87367113379556,21.357046301984,15.599893008272058,0.4790349024446226,9.53569554330636
85,Firefighter,Family,Musical,Metal,2,61,79.18399034188901,3,1,2,1,8,13.964718524700672,9.318112764852831,9.46983909235748,19.789886128033434,0.4054085806478085,10.87248168763848
86,Teacher,Couple,Gaming,Glas,3,44,109.38529278169398,2,1,1,1,7,17.330764902250284,27.828433729931792,18.546436729139476,85.54527114812119,0.6450342596964314,11.251661198201335
87,Teacher,Singles,Crafty,Concrete,2,46,60.96401053661647,2,1,2,0,6,15.34631176755728,17.597018070310984,12.830410782837802,28.84927679742859,0.4862356691172275,11.395232585782487
88,Firefighter,Singles,Outdoor,Concrete,2,54,69.84295827039304,3,2,1,1,7,20.604600066175557,9.122272730037702,15.51559039446855,30.370009250587376,0.8240421352886341,7.476931222420112
89,Teacher,Family,Sporty,Metal,3,45,75.10904119353562,2,1,1,1,8,6.342667993107543,9.152949200324075,5.4951771136963306,12.663374015188781,0.3570011068684031,11.457431945923808
90,Teacher,Family,Musical,Concrete,3,51,55.682133356005274,3,2,1,1,7,4.50203006019247,5.89177152884271,13.517645663261643,18.109757381476424,0.5760956611781145,7.417868066932761
91,Nurse,Couple,Crafty,Concrete,2,50,59.76272490207133,2,1,1,1,9,11.338684846464819,9.834217000637485,6.08104285590793,11.81069450689567,0.47594199796428033,9.944803631493532
92,Salesman,Seniors,Musical,Glas,2,45,39.03350460069908,4,2,1,0,6,23.26856176427179,16.93636359311919,24.78125695943117,27.101497473418636,0.5102893562416753,12.78596169144552
93,Firefighter,Singles,Gaming,Wood,3,63,75.90451216687241,3,2,2,0,8,5.9510243356774,14.108199747918196,3.571519197458387,44.417470628864294,0.43669262488359617,9.925838722506262
94,Teacher,Family,Sporty,Glas,2,54,74.35982190760933,3,1,1,1,7,6.020615798787476,7.020208059569789,4.748988208566665,23.919002433813162,0.44881785653759526,5.794880911713109
95,Student,Seniors,Outdoor,Tiles,3,39,52.611761912113366,3,1,1,1,7,18.49624384347539,24.279040571231896,17.39110383921858,39.12898763298434,0.3887984474318028,10.392979876528578
96,Teacher,Seniors,Travelling,Metal,2,57,35.246980743335676,1,1,2,1,4,8.387585548406065,2.8780159363576683,5.145605409186228,20.050206696939483,0.5407328499346259,2.793805395289433
97,Data Scientist,Couple,Gaming,Tiles,1,52,30.207096569798537,1,0,1,1,7,7.12116417024378,1.4242072820655411,5.7615305659134455,3.9635944264906193,0.5627394968371426,5.795313479370745
98,Student,Seniors,Musical,Glas,3,47,63.901228917058454,3,1,1,1,7,9.451451508742263,15.786367090085614,16.997019037396523,70.63130224520643,0.5850611237845244,8.63560124360217
99,Nurse,Family,Gaming,Concrete,3,43,62.431031219573875,2,2,1,1,8,18.45504249745858,4.852862921757354,2.4080580553472117,12.768344624250153,0.5194541039212854,9.555618877560033
100,Salesman,Seniors,Outdoor,Tiles,3,64,75.91815023320387,3,2,2,0,7,13.862696157652664,5.003418006945969,20.15216204744732,13.917703222576806,0.6984953412770482,9.547777938389304
101,Nurse,Family,Crafty,Wood,2,60,38.623148316334216,3,1,1,1,8,9.699283556640248,4.095751291833182,10.900572374965755,7.454021030910755,0.6354322972165384,8.432739094916252
102,Firefighter,Singles,Sporty,Metal,2,57,75.62290275153872,3,1,2,1,8,12.880809955319064,12.348843243151157,6.69584091920116,20.453987088300018,0.5036071308640676,12.843029334699537
103,Firefighter,Singles,Outdoor,Glas,3,59,59.08977682207657,3,2,2,1,8,22.260225167161163,6.687266915019929,8.172214242667991,32.82028831887121,0.5337718465800494,12.386493685147396
104,Student,Couple,Musical,Tiles,2,52,43.0007674981058,4,1,2,0,8,6.636707127862082,15.195882539876257,66.69807944294408,30.229647881076726,0.49205845087038913,8.065508786013403
105,Salesman,Seniors,Sporty,Wood,3,51,60.378359616707634,3,2,2,0,7,17.762792277679104,39.44970153022463,15.858408918802983,36.77278704782421,0.6529280657268816,9.943286680931234
106,Teacher,Singles,Gaming,Tiles,2,58,57.996059294955515,2,2,1,1,7,4.869373966463055,7.732798515709862,6.96360988320909,42.65349958155333,0.48089261068101197,7.244408463847947
107,Salesman,Singles,Sporty,Wood,2,53,43.33509112121885,4,2,1,1,7,23.730755880937572,4.174830816894141,11.865808120646243,26.455193697615808,0.577972678695634,10.051760275103266
108,Student,Singles,Outdoor,Tiles,2,53,61.66466111227556,2,1,2,0,8,12.126150322809549,23.206560375612607,6.335602972632564,12.66783992172267,0.3789134841364241,13.004094626712268
109,Data Scientist,Family,Gaming,Glas,2,63,51.27271230548068,2,1,2,1,5,3.601581516866417,7.38026115901894,3.7195336218361263,7.228296950301439,0.48054738745361375,6.957848416038858
110,Student,Couple,Crafty,Metal,2,54,77.70036987435974,2,1,1,1,7,10.81930131197208,2.5662305814232114,5.571041132284373,20.58028519452833,0.3010539925417146,6.119053001100127
111,Teacher,Couple,Gaming,Concrete,3,58,73.50618743284592,3,1,1,1,6,13.664805546430777,8.764806002927806,12.702824567742594,40.939664191496334,0.7282258389171473,8.366104641722389
112,Student,Couple,Travelling,Tiles,2,41,38.72630299300036,3,1,1,0,8,16.350110391734336,21.82718533464341,7.200134817200607,8.699144976599666,0.3491900418442956,14.476035604951893
113,Data Scientist,Family,Sporty,Glas,2,59,42.36458522521072,3,1,1,1,8,18.015582041907983,4.008794229957219,12.286443231400467,31.270129258921152,0.5796844607872237,11.309759414723501
114,Salesman,Couple,Sporty,Concrete,2,42,54.25984524273378,3,1,1,1,7,16.8544057347955,8.17877811603287,4.747395175096269,14.126882113852837,0.37359888854852313,8.474199251174454
115,Teacher,Singles,Outdoor,Glas,2,49,82.43932776618934,3,1,1,1,8,20.402640919575227,17.17418377566047,21.32385551223247,51.87448912531823,0.4846882459008972,11.300742088138723
116,Teacher,Couple,Sporty,Metal,2,53,38.55022465696971,1,1,1,1,8,17.26095245400851,4.469450958291087,5.181004204708779,12.480689632499342,0.4249790740176429,10.094713377981904
117,Salesman,Family,Outdoor,Metal,2,44,101.4271922969592,4,1,1,1,7,25.97438928680712,34.883484248323754,26.286220543971563,14.559481672669357,0.5242734101899759,13.106559449895228
118,Teacher,Family,Sporty,Concrete,2,51,62.56928869771398,3,1,1,1,4,10.869233258070603,10.293414590690116,17.547540384356004,12.070167617600154,0.6142330742689367,6.949253613053124
119,Teacher,Family,Musical,Metal,2,54,61.989824636234836,3,2,1,0,5,14.037872567978662,8.94178010109629,9.888831647734243,53.7973945033687,0.38122690100522505,8.485277008304525
120,Salesman,Seniors,Sporty,Concrete,2,48,69.10355359845937,4,1,1,1,7,19.196817700500006,16.319166763151078,10.245521111797986,17.61444874303605,0.6638537334917033,10.440105703263816
121,Salesman,Couple,Gaming,Metal,1,58,76.97927930152359,3,0,1,1,6,5.0641780036238755,4.002763251498976,9.460879292333853,2.022237094646903,0.5990147064253653,9.815641467862445
122,Nurse,Seniors,Sporty,Tiles,2,46,90.02342853472886,2,1,1,1,9,9.119434163011718,13.271905318164912,9.806116065620099,26.52306860861904,0.4793904017894909,11.110077618913774
123,Student,Singles,Outdoor,Glas,4,51,47.005271518970076,4,2,1,1,8,17.025163515341507,18.949825197143884,17.38980545849979,50.16014403444305,0.5858115169248764,11.645049980435854
124,Firefighter,Singles,Musical,Concrete,2,60,75.15998760063464,4,1,2,0,8,19.42044069417887,19.456239885809367,11.932628117760819,32.01121741677841,0.5019886106728565,12.828005516496063
125,Firefighter,Seniors,Outdoor,Wood,2,50,73.21127690440292,2,2,1,0,7,11.15877641645713,8.695480188788569,3.674196172280554,5.28992477794351,0.3642503138436725,8.761091296310395
126,Teacher,Family,Gaming,Wood,2,53,52.28997212972719,2,1,2,1,6,10.50597328521224,5.419595838753274,2.9426516816715584,11.835160585628268,0.5468560218561427,5.6461009226290395
127,Teacher,Family,Musical,Glas,1,51,63.402915958583066,1,1,1,1,1,12.535406561493362,4.81645014206726,2.260239952065686,9.692580458822842,0.4655859061769431,6.8494791740538785
128,Salesman,Singles,Outdoor,Concrete,2,61,97.42028238124607,2,2,2,0,5,17.171044846765636,6.93588815281593,5.11633035956663,15.054894756923545,0.5589146617441801,8.285873798544436
129,Salesman,Singles,Crafty,Glas,2,52,43.21785884195749,3,2,1,0,9,17.68513072851941,14.45798429851449,5.002801435967086,14.405027548999634,0.5141691274518861,14.292691130881582
130,Nurse,Singles,Sporty,Concrete,3,54,61.99978389470074,2,1,2,1,8,14.071207053600338,5.839179873411159,1.9615141997255994,15.606875894499133,0.4285379784815286,11.176070428230073
131,Teacher,Family,Crafty,Concrete,4,44,73.985409183531,4,1,1,1,8,19.710367345369367,20.8819646638487,12.438797592786427,121.03060320907719,0.41699175417235124,13.478477706630393
132,Student,Singles,Outdoor,Wood,1,41,62.1358423041401,1,1,1,1,8,6.518871834024141,11.155026638268097,8.80677625790186,4.390867879609134,0.6504304970115737,9.025587534686215
133,Nurse,Family,Gaming,Concrete,2,53,27.825879653284577,2,1,2,1,10,12.370303036714947,5.8006613624350445,3.5048032042612083,13.990158952170885,0.4616137524301891,11.485145011799979
134,Teacher,Couple,Sporty,Wood,2,40,52.30241281080336,2,0,1,0,7,11.376490327705776,10.331438101821021,13.097027598640269,5.374184751374291,0.4586550578832388,6.979208812784381
135,Teacher,Couple,Gaming,Tiles,3,49,71.39409671563602,2,1,1,1,2,14.345195157250409,11.486213330901782,8.119380729046945,19.757166059393178,0.6309592887144245,7.456246551681747
136,Salesman,Seniors,Musical,Concrete,4,52,76.48652047172946,4,2,1,1,7,19.181222897509922,10.758130924107167,20.896662389932384,100.5012013797221,0.511323447885015,12.102286429244407
137,Teacher,Couple,Sporty,Concrete,1,56,68.47505651028092,0,1,1,1,7,13.764023704434818,3.3076214982771823,8.349011531384102,6.422325109856349,0.37432727538539434,11.42888356522727
138,Firefighter,Couple,Musical,Wood,2,49,64.98417450865166,2,1,2,1,5,7.814873890899759,8.621629303477798,19.18068714025659,26.883713533993472,0.5034548254272714,7.721035291260069
139,Nurse,Seniors,Sporty,Tiles,2,41,75.4853324148115,2,0,1,0,8,18.682994856692574,17.790042500075135,6.794217593355589,18.67765331370053,0.3278349306238132,13.01719873706947
140,Teacher,Family,Musical,Wood,2,54,69.47692111119994,2,0,1,1,7,5.382836774596191,19.850899057986062,12.805470450436145,15.307820721277048,0.32651080907747093,9.508001298469154
141,Data Scientist,Singles,Sporty,Wood,1,41,57.577934587472114,1,1,1,1,6,12.987067296874297,5.0980070801777755,5.621329708109311,12.124773210942335,0.5501611895576815,5.64129008539024
142,Student,Couple,Musical,Metal,3,52,81.46104418788626,3,2,1,1,6,17.96098022123024,13.77910785687395,8.602682289455139,22.71355195418323,0.5946330865158572,10.42524874971953
143,Data Scientist,Couple,Outdoor,Tiles,1,55,24.952589785749062,1,1,1,1,5,11.736675173467269,2.5571333274522487,7.363407259475989,9.408269185887926,0.24211878199140605,2.8788315777912414
144,Data Scientist,Family,Outdoor,Glas,3,72,46.65367981988488,2,2,2,1,7,5.649353679749208,9.842403894554556,12.255900393493945,49.2986714223431,0.42988642679482597,5.39564322888495
145,Firefighter,Family,Crafty,Concrete,3,78,59.474564049829226,3,2,2,1,8,14.776876172197753,2.2705051194452133,4.572278508895613,12.421861858296007,0.5652358815931559,8.35796721017279
146,Nurse,Couple,Musical,Wood,1,45,60.980834278426585,1,1,1,1,6,12.894545539396423,7.626750446894809,4.108970121343919,26.386490483948222,0.5094740799632552,7.631352679475006
147,Data Scientist,Family,Sporty,Metal,3,51,80.17303881927286,2,1,1,1,8,6.119787431746452,6.128913383151467,2.214911436788968,32.096775005649604,0.5305705365358289,9.469240653810663
148,Teacher,Singles,Musical,Metal,3,57,61.47271674361315,2,2,1,0,7,14.528189118728045,6.585403150299876,2.7981304095335897,22.614881208324256,0.4744603255640133,7.678822695377507
